open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.67253E+12,9.968,10.016,9.923,9.979,2192047,1.67253E+12,21859206.7,33866,1132157,11290414.64,0
1.67253E+12,9.98,10.06,9.97,10.032,1386948,1.67254E+12,13905881.85,23036,703669,7056251.823,0
1.67254E+12,10.031,10.074,9.981,10.006,1048577,1.67254E+12,10514183.99,19298,531650,5331473.862,0
1.67254E+12,10.005,10.005,9.894,9.957,1629822,1.67255E+12,16210752.76,27628,822714,8182824.86,0
1.67255E+12,9.957,9.978,9.81,9.837,1883235,1.67255E+12,18602138.11,28394,763989,7545728.384,0
1.67255E+12,9.837,9.847,9.711,9.786,2179065,1.67255E+12,21299943.78,33161,1056949,10332076.12,0
1.67255E+12,9.787,9.836,9.754,9.783,1164816,1.67256E+12,11410885.66,18387,634816,6220031.533,0
1.67256E+12,9.784,9.789,9.678,9.782,1753049,1.67256E+12,17083642.91,25350,881668,8593922.397,0
1.67256E+12,9.782,9.786,9.693,9.719,1441280,1.67256E+12,14031203.77,20476,681950,6639102.36,0
1.67256E+12,9.718,9.81,9.717,9.8,1225030,1.67257E+12,11965495.84,16753,658540,6433011.254,0
1.67257E+12,9.8,9.8,9.761,9.795,704478,1.67257E+12,6892017.991,11559,339340,3319927.312,0
1.67257E+12,9.794,9.975,9.794,9.915,3249968,1.67257E+12,32183673.79,38467,1632559,16164126.16,0
1.67257E+12,9.916,9.944,9.87,9.929,990377,1.67258E+12,9808614.48,14915,499231,4945170.175,0
1.67258E+12,9.93,9.955,9.813,9.842,1616056,1.67258E+12,15951011.95,20777,752075,7422119.394,0
1.67258E+12,9.842,9.887,9.8,9.828,1893049,1.67259E+12,18619033.47,19490,968407,9524799.312,0
1.67259E+12,9.828,9.857,9.781,9.848,1060878,1.67259E+12,10417777.03,13389,499404,4905897.293,0
1.67259E+12,9.849,9.909,9.821,9.855,1127073,1.67259E+12,11115591.28,16692,586448,5784822.632,0
1.67259E+12,9.855,9.945,9.852,9.93,1202063,1.6726E+12,11911192.87,17193,638404,6326194.799,0
1.6726E+12,9.93,10.019,9.93,9.975,1799473,1.6726E+12,17961037.66,25225,970061,9682309.328,0
1.6726E+12,9.976,10.04,9.919,9.945,1192955,1.6726E+12,11906283.38,17613,574989,5741974.175,0
1.6726E+12,9.945,10.023,9.926,9.959,900796,1.67261E+12,8989843.541,15000,482375,4814338.979,0
1.67261E+12,9.959,9.986,9.928,9.962,609508,1.67261E+12,6069872.431,10258,284115,2829691.038,0
1.67261E+12,9.962,10,9.952,9.96,480892,1.67261E+12,4796750.762,8735,259908,2592523.115,0
1.67261E+12,9.961,10.048,9.934,9.977,1257890,1.67262E+12,12558469.21,18071,616261,6151531.043,0
1.67262E+12,9.977,9.977,9.862,9.896,1002055,1.67262E+12,9927818.964,17031,462093,4578337.665,0
1.67262E+12,9.896,9.923,9.796,9.831,1813509,1.67262E+12,17859975.19,26076,874368,8611398.907,0
1.67262E+12,9.83,9.924,9.81,9.9,893841,1.67263E+12,8822140.096,12950,501795,4952988.072,0
1.67263E+12,9.9,10.008,9.87,9.977,1096942,1.67263E+12,10910863.29,17760,599263,5961301.02,0
1.67263E+12,9.977,10.02,9.942,9.965,943771,1.67264E+12,9409118.511,15699,494213,4927561.872,0
1.67264E+12,9.966,9.987,9.927,9.975,678684,1.67264E+12,6757504.822,10680,371259,3696796.576,0
1.67264E+12,9.975,9.995,9.939,9.97,654544,1.67264E+12,6525595.802,10472,320850,3199161.47,0
1.67264E+12,9.969,12.067,9.966,11.083,23493361,1.67265E+12,259917978.1,363696,12815094,141710620.3,0
1.67265E+12,11.084,11.36,10.991,11.178,9664161,1.67265E+12,108284562.8,170369,5135833,57553497.63,0
1.67265E+12,11.178,11.244,11.031,11.137,4782737,1.67265E+12,53231767.8,86223,2508654,27925453.11,0
1.67265E+12,11.137,11.138,10.832,11.047,5809718,1.67266E+12,63933607.59,92150,2987420,32875520.74,0
1.67266E+12,11.047,11.049,10.9,11.007,2256854,1.67266E+12,24788897.85,40064,1119983,12304053.15,0
1.67266E+12,11.008,11.2,10.998,11.081,5024279,1.67266E+12,55725317.51,65078,2437782,27040587.1,0
1.67266E+12,11.081,11.14,11.036,11.097,2723536,1.67267E+12,30203041.79,44064,1360831,15092105.77,0
1.67267E+12,11.096,11.184,11.072,11.11,2234519,1.67267E+12,24856242.85,38930,1104127,12284651.5,0
1.67267E+12,11.11,11.234,11.054,11.108,2495029,1.67268E+12,27765767.5,41753,1269939,14136069.82,0
